"TweetID","User","Tweet","Latitude","Longitude","IsUrl","IsHashtag","IsRetweet","Language","Category","W_northeastern","W_downed","W_dead","W_natuklapan","W_katao","W_barangay","W_lumikas","W_nagdulot","W_bayan","W_linya","W_mahigit","W_sagkahan","W_pswd","W_imprastraktura","W_total","W_iniwan","W_bagsak","W_sinira","W_video","W_residente","W_kahoy","W_tindahang","W_yero","W_yari","W_alon","W_evacuees","W_highway","W_post","W_lines","W_lubog","W_winasak","W_damages","W_power","W_ngcp","W_pananalasa","W_bubong","W_casualty","W_bunkhouses","W_malawak","W_umakyat","W_nasawi","W_patay","W_istruktura","W_pinsala","W_nasira","W_naitalang","W_youscooper","Length"
"934","jamshaaa","Nako #RubyPH pakiusap wag masyado ngayong araw.",,,"1","0","0","tl","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8"
"1001","marrialigaya","@ANCALERTS: NDRRMC: 3 dead due to #RubyPH tsk","14.752156","121.079288","1","0","0","tl","CD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10"
"1002","IGMOlayvar","@DZMMTeleRadyo: Bubong at kisame ng Tacloban Airport, sinira ni #RubyPH http://t.co/FZHADakW9X http://t.co/0u0ziXbw9e grabe",,,"1","1","0","tl","CD","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15"
"1003","blujay_chabby","@gmanews: #RubyPH update mula sa press briefing ng DILG: Walang naitalang casualty sa Leyte. Good to hear. Sana sa ibang lugar din :)",,,"1","0","0","tl","CD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27"
"1004","MerryEdear","@gmanews: #RubyPH update mula sa press briefing ng DILG: Walang naitalang casualty sa Leyte. Thank you Lord! :)",,,"1","0","0","tl","CD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22"
"1005","MarkGascon1","@gmanews: Bagsak na ang linya ng komunikasyon sa mga bayan sa Northeastern Samar. #RubyPH | via @PeeweeHero @dzbb","10.717486","125.794168","1","0","0","tl","CD","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","20"
"1006","meecatok","@gmanews: Bagsak na ang linya ng komunikasyon sa mga bayan sa Northeastern Samar. #RubyPH | via @PeeweeHero @dzbb",,,"1","0","0","tl","CD","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","20"
"1007","IamTheLawler","@gmanews: Bagsak na ang linya ng komunikasyon sa mga bayan sa Northeastern Samar. #RubyPH | via @PeeweeHero @dzbb keep safe everyone","14.815947","121.071702","1","0","0","tl","CD","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","23"
"1008","ariescaringal","RT @gmanews: ROMBLON Ã?Â¢Ã¢â??Â¬Ã¢â?¬ï?? As of 2:30PM, 30,689 na ang total evacuees sa buong probinsya, ayon sa PSWD. #RubyPH via @akosiJaysent",,,"1","0","1","tl","CD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","26"
"1009","JholimaGlory","RT @gmanews: ROMBLON Ã?Â¢Ã¢â??Â¬Ã¢â?¬ï?? As of 2:30PM, 30,689 na ang total evacuees sa buong probinsya, ayon sa PSWD. #RubyPH via @akosiJaysent",,,"1","0","1","tl","CD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","26"
