'TweetID';'User';'Tweet';'Latitude';'Longitude';'IsHashtag';'IsURL';'IsRetweet';'Language'
513320595568603000;'CitizenPatrol';'Mahigit 3,000 pamilya, apektado ng baha sa Candaba, Pampanga. #MarioPH  #FloodPH';'NULL';'NULL';1;0;0;'tl'
513002606919053000;'OnlinePhil';'RT @officialdohgov: EMERGENCY HOTLINES: Paalala po ngayong tag-ulan. Magingat po tayo ingat. #walangpasok #MarioPH #FloodPH http://t.co/0uV…';'NULL';'NULL';1;0;1;'tl'
512988800327237000;'CitizenPatrol';'Marikina at Cainta, isinailalim na sa state of calamity. #MarioPH #FloodPH';'NULL';'NULL';1;0;0;'tl'
512987606691233000;'CitizenPatrol';'Sa San mateo,Rizal,Ilang residente, nag-akyatan sa bubong ng kanilang bahay dahil sa pag-apaw ng ilog. #RescuePH #MarioPH';'NULL';'NULL';1;0;0;'tl'
512987093673324000;'CitizenPatrol';'Sa E. Rodriguez, Araneta,mga bahay at ospital, nalubog sa baha.  #MarioPH #FloodPH';'NULL';'NULL';1;0;0;'tl'
512985932056653000;'CitizenPatrol';'Baha sa Roxas District, QC, umabot sa second floor ang baha.  #MarioPH #RescuePH';'NULL';'NULL';1;0;0;'tl'
512985324134223000;'CitizenPatrol';'Ilang lugar naman sa Lungsod ng Makati, lubog pa rin sa baha. #MarioPH #FloodPH';'NULL';'NULL';1;0;0;'tl'
512983369483681000;'CitizenPatrol';'Ilang kalsada sa lungsod ng marikina, hindi pa rin madaanan. #MarioPH #FloodPH';'NULL';'NULL';1;0;0;'tl'
512981573226872000;'CitizenPatrol';'Sa bgy. New Lower,Rp Cruz Elem ay tinatayang may 78 na pamilya at 336 indibidwal ang naapektuhan ng bagyong mario. #MarioPH #ReliefPH';'NULL';'NULL';1;0;0;'tl'
512981499864297000;'CitizenPatrol';'Sa vmac sports complex naman sa New lower,taguig ay may 16 pamilya at 55 indibidwal ang nasa evacuation center. #MarioPH #ReliefPH';'NULL';'NULL';1;0;0;'tl'
512978354106941000;'CitizenPatrol';'Sa Cayetano High school,bgy. Ususan sa taguig ay umabot na sa 54 na pamilya ang nailikas at nasa 390 naman ang indibidwal.#MarioPH #ReliefPH';'NULL';'NULL';1;0;0;'tl'
512976484969885000;'sanjuncssr';'RT @CitizenPatrol: Sa bahagi naman ng malanday,Marikina h.school at Bautista Elem. school ay ginawa ng Evacuation Center. #MarioPH #ReliefPH';'NULL';'NULL';1;0;1;'tl'
