'TweetID';'User';'Tweet';'Latitude';'Longitude';'IsHashtag';'IsURL';'IsRetweet';'Language'
513015744271888000;'JrLandCo';'#nopower sa amin lng #royalplazatwintowercondominium';'NULL';'NULL';1;0;0;'tl'
513011788145635000;'MariaRoann';'RT @yelpalisoc: @TheMayorLIM Sir pahelp po magRT #ReliefPH sa Leodegracio Victorino Elem. School po may mga evacuees po, wala daw pong kury…';'NULL';'NULL';1;0;1;'tl'
513008137654108000;'Oneeeeengg';'RT @ruffaguchenez: Hi @RescuePH i need help kasi nabaha kami at wala kong bra #RescuePH #marioph #DahilMayBagyoNgayon #TheRealEnding http:/…';'NULL';'NULL';1;0;1;'tl'
513005074897833000;'StevenDequino_';'RT @ruffaguchenez: Hi @RescuePH i need help kasi nabaha kami at wala kong bra #RescuePH #marioph #DahilMayBagyoNgayon #TheRealEnding http:/…';'NULL';'NULL';1;0;1;'tl'
513003610213322000;'BasangTalaheb';'RT @ruffaguchenez: Hi @RescuePH i need help kasi nabaha kami at wala kong bra #RescuePH #marioph #DahilMayBagyoNgayon #TheRealEnding http:/…';'NULL';'NULL';1;0;1;'tl'
513003607013093000;'imalekzandra';'RT @ruffaguchenez: Hi @RescuePH i need help kasi nabaha kami at wala kong bra #RescuePH #marioph #DahilMayBagyoNgayon #TheRealEnding http:/…';'NULL';'NULL';1;0;1;'tl'
513003407238373000;'princessbendita';'RT @ruffaguchenez: Hi @RescuePH i need help kasi nabaha kami at wala kong bra #RescuePH #marioph #DahilMayBagyoNgayon #TheRealEnding http:/…';'NULL';'NULL';1;0;1;'tl'
513003377030991000;'coachyella';'RT @yelpalisoc: @TheMayorLIM Sir pahelp po magRT #ReliefPH sa Leodegracio Victorino Elem. School po may mga evacuees po, wala daw pong kury…';'NULL';'NULL';1;0;1;'tl'
513003278435495000;'anjewicuh';'RT @ruffaguchenez: Hi @RescuePH i need help kasi nabaha kami at wala kong bra #RescuePH #marioph #DahilMayBagyoNgayon #TheRealEnding http:/…';'NULL';'NULL';1;0;1;'tl'
513003229907410000;'krssstyncrimen';'RT @ruffaguchenez: Hi @RescuePH i need help kasi nabaha kami at wala kong bra #RescuePH #marioph #DahilMayBagyoNgayon #TheRealEnding http:/…';'NULL';'NULL';1;0;1;'tl'
513003056456151000;'clingyboypren';'RT @ruffaguchenez: Hi @RescuePH i need help kasi nabaha kami at wala kong bra #RescuePH #marioph #DahilMayBagyoNgayon #TheRealEnding http:/…';'NULL';'NULL';1;0;1;'tl'
513002709482364000;'TheMayorLIM';'RT @yelpalisoc: @TheMayorLIM Sir pahelp po magRT #ReliefPH sa Leodegracio Victorino Elem. School po may mga evacuees po, wala daw pong kury…';'NULL';'NULL';1;0;1;'tl'
512993528067002000;'ruffaguchenez';'Hi @RescuePH i need help kasi nabaha kami at wala kong bra #RescuePH #marioph #DahilMayBagyoNgayon #TheRealEnding http://t.co/pldmSVpRmV';'NULL';'NULL';1;0;0;'tl'
512984639447642000;'nyzelle_paz';'RT @kyutkhulet06: "@itsandreaernii: Paki-rescue si @marlo_mortel nasa Cainta siya, stranded for 9hrs. #RescuePH"';'NULL';'NULL';1;0;1;'tl'
512967698373177000;'Iam_rjb05';'Wala kuryeryente saamin (-_-) #NoPower — at Mambalon Mahabang Parang Binangonan Rizal http://t.co/DUHTtrneH0';'NULL';'NULL';1;1;0;'tl'
512937415388848000;'GorgeousTyziel';'RT @KuyaTonipet: RT! My dear Blogger friends, baka may kakilala kayo. Hope you could cascade.. Mga evacuees daw sa Sto. Domingo Church need…';'NULL';'NULL';1;0;1;'tl'
512934520882864000;'KuyaTonipet';'RT! My dear Blogger friends, baka may kakilala kayo. Hope you could cascade.. Mga evacuees daw sa Sto. Domingo Church need #ReliefPH.';'NULL';'NULL';1;0;0;'tl'
512933814054551000;'carol_bayhon15';'RT @infinity_jadine: OFF TOPIC GUYS #RescueMarloMortel 9hrs na syang Stranded sa loob ng car nya magisa sa cainta . #RescuePH #RescuePH #Re…';'NULL';'NULL';1;0;1;'tl'
512928947047112000;'TheWingedImago';'RT @philredcross @RescuePH @MarikinaPIO @MMDA Aquilino Silva, Blk 66 Roga Compound, Tumana, Marikina. 09267777459. #RescuePH';'NULL';'NULL';1;0;0;'tl'
512926636988067000;'katolikongpinoy';'RT @CamilleRaeV: @DivinemLee #RescuePH  Aquilino Silva 09267777459  blk. 66 Roga Compound, Tumana, Marikina from @gmcardenas23';'NULL';'NULL';1;0;0;'tl'
512926180500992000;'CamilleRaeV';'@DivinemLee #RescuePH  Aquilino Silva 09267777459  blk. 66 Roga Compound, Tumana, Marikina from @gmcardenas23';'NULL';'NULL';1;0;0;'tl'
