TweetID,User,Tweet,Latitude,Longitude,IsHashtag,IsURL,IsRetweet,Language,Category
5.40E+17,ukgdos,"Preemptive evacuation, sinimulan na sa mga nakatira sa tent city sa Tacloban bilang paghahanda sa bagyong #RubyPH",NULL,NULL,1,0,0,tl,CH
5.41E+17,zhandercayabyab,"Mga simbahan at kapilya sa Tacloban, ipinagagamit bilang evacuation center @DZMMTeleRadyo #RubyPH http://t.co/UKYsThkm2t",NULL,NULL,1,0,0,tl,CH
5.41E+17,earl_ezpeleta,Sana naman ipriority talaga ng local government lalo na sa Visayas yung pagtulong sa mga maaapektuhan ng Bagyo. #RubyPH,NULL,NULL,1,0,0,tl,CH
5.41E+17,DZMMTeleRadyo,"PHOTO: Mga simbahan at kapilya sa Tacloban, ipinagagamit bilang evacuation center http://t.co/22FazgaGbf #RubyPH | via @zhandercayabyab",NULL,NULL,1,0,0,tl,CH
5.41E+17,24OrasGMA,Binuksan na rin ang Kapuso Village sa Tacloban City para sa mga kailangang lumikas dahil sa banta ng Bagyong #RubyPH.,NULL,NULL,1,0,0,tl,CH
5.41E+17,Yshaaaaaa,"RT @DZMMTeleRadyo: PHOTO: Mga simbahan at kapilya sa Tacloban, ipinagagamit bilang evacuation center http://t.co/22FazgaGbf #RubyPH | via @…",NULL,NULL,1,0,1,tl,CH
5.41E+17,choihilario,"RT @DZMMTeleRadyo: PHOTO: Mga simbahan at kapilya sa Tacloban, ipinagagamit bilang evacuation center http://t.co/22FazgaGbf #RubyPH | via @…",NULL,NULL,1,0,1,tl,CH
5.41E+17,bncaustria,"RT @DZMMTeleRadyo: PHOTO: Mga simbahan at kapilya sa Tacloban, ipinagagamit bilang evacuation center http://t.co/22FazgaGbf #RubyPH | via @…",NULL,NULL,1,0,1,tl,CH
5.41E+17,dzbb,RT @24OrasGMA: Binuksan na rin ang Kapuso Village sa Tacloban City para sa mga kailangang lumikas dahil sa banta ng Bagyong #RubyPH.,NULL,NULL,1,0,1,tl,CH
5.41E+17,domalantaaeyan,"RT @DZMMTeleRadyo: PHOTO: Mga simbahan at kapilya sa Tacloban, ipinagagamit bilang evacuation center http://t.co/22FazgaGbf #RubyPH | via @…",NULL,NULL,1,0,1,tl,CH
5.41E+17,elltee333,"RT @DZMMTeleRadyo: PHOTO: Mga simbahan at kapilya sa Tacloban, ipinagagamit bilang evacuation center http://t.co/22FazgaGbf #RubyPH | via @…",NULL,NULL,1,0,1,tl,CH
5.41E+17,JessCMendoza,"RT @DZMMTeleRadyo: PHOTO: Mga simbahan at kapilya sa Tacloban, ipinagagamit bilang evacuation center http://t.co/22FazgaGbf #RubyPH | via @…",NULL,NULL,1,0,1,tl,CH
5.41E+17,AkoSiGelica,"RT @DZMMTeleRadyo: PHOTO: Mga simbahan at kapilya sa Tacloban, ipinagagamit bilang evacuation center http://t.co/22FazgaGbf #RubyPH | via @…",NULL,NULL,1,0,1,tl,CH
5.41E+17,Kamil_Camille,"RT @DZMMTeleRadyo: PHOTO: Mga simbahan at kapilya sa Tacloban, ipinagagamit bilang evacuation center http://t.co/22FazgaGbf #RubyPH | via @…",NULL,NULL,1,0,1,tl,CH
5.41E+17,makoipopioco,Binuksan na rin ang Kapuso Village sa Tacloban City para sa mga kailangang lumikas dahil sa banta ng Bagyong #RubyPH. | via @24OrasGMA,NULL,NULL,1,0,0,tl,CH
