TweetID,User,Tweet,Latitude,Longitude,IsHashtag,IsURL,IsRetweet,Language,Category
5.41E+17,RubyPHNews1,RT @gmanews: RIZAL — Inihahanda na ang gym sa San Mateo sakaling muling ilikas ang mga preso. | #RubyPH via @VargasMannysen http://t.co/xcK…,NULL,NULL,1,0,1,tl,D
5.41E+17,UdchenC,RT @gmanews: RIZAL — Inihahanda na ang gym sa San Mateo sakaling muling ilikas ang mga preso. | #RubyPH via @VargasMannysen http://t.co/xcK…,NULL,NULL,1,0,1,tl,D
5.41E+17,deniseclarity,RT @gmanews: RIZAL — Inihahanda na ang gym sa San Mateo sakaling muling ilikas ang mga preso. | #RubyPH via @VargasMannysen http://t.co/xcK…,NULL,NULL,1,0,1,tl,D
5.41E+17,MicaaaELLAf,RT @gmanews: RIZAL — Inihahanda na ang gym sa San Mateo sakaling muling ilikas ang mga preso. | #RubyPH via @VargasMannysen http://t.co/xcK…,NULL,NULL,1,0,1,tl,D
5.41E+17,KeniticChoy,RT @gmanews: RIZAL — Inihahanda na ang gym sa San Mateo sakaling muling ilikas ang mga preso. | #RubyPH via @VargasMannysen http://t.co/xcK…,NULL,NULL,1,0,1,tl,D
5.41E+17,my_aya08,RT @gmanews: RIZAL — Inihahanda na ang gym sa San Mateo sakaling muling ilikas ang mga preso. | #RubyPH via @VargasMannysen http://t.co/xcK…,NULL,NULL,1,0,1,tl,D
5.42E+17,mariajessapadua,"RT @govph: PHOTO: @PN_Speak personnel of PS36 in Palawan transported relief goods to Cuyo, Agutaya and Magsaysay towns. #RubyPH http://t.co…",NULL,NULL,1,0,1,tl,D
5.42E+17,itsbeckxoxo,"RT @govph: PHOTO: @PN_Speak personnel of PS36 in Palawan transported relief goods to Cuyo, Agutaya and Magsaysay towns. #RubyPH http://t.co…",NULL,NULL,1,0,1,tl,D
5.42E+17,AparriPolSta,"RT @govph: PHOTO: @PN_Speak personnel of PS36 in Palawan transported relief goods to Cuyo, Agutaya and Magsaysay towns. #RubyPH http://t.co…",NULL,NULL,1,0,1,tl,D
5.42E+17,PTVph,"RT @govph: PHOTO: @PN_Speak personnel of PS36 in Palawan transported relief goods to Cuyo, Agutaya and Magsaysay towns. #RubyPH http://t.co…",NULL,NULL,1,0,1,tl,D
5.42E+17,jarlego_td14,"RT @govph: PHOTO: @PN_Speak personnel of PS36 in Palawan transported relief goods to Cuyo, Agutaya and Magsaysay towns. #RubyPH http://t.co…",NULL,NULL,1,0,1,tl,D
5.42E+17,manilena50,"RT @govph: PHOTO: @PN_Speak personnel of PS36 in Palawan transported relief goods to Cuyo, Agutaya and Magsaysay towns. #RubyPH http://t.co…",NULL,NULL,1,0,1,tl,D
5.42E+17,LGiUSAchapter,"RT @govph: PHOTO: @PN_Speak personnel of PS36 in Palawan transported relief goods to Cuyo, Agutaya and Magsaysay towns. #RubyPH http://t.co…",NULL,NULL,1,0,1,tl,D
5.42E+17,jlpvillanueva,"RT @govph: PHOTO: @PN_Speak personnel of PS36 in Palawan transported relief goods to Cuyo, Agutaya and Magsaysay towns. #RubyPH http://t.co…",NULL,NULL,1,0,1,tl,D
5.42E+17,TropangMARangal,"RT @govph: Via @dswdserves: As of 11:30 am, the NROC has 311 volunteers. Maraming salamat sa tulong! #ReliefPH #RubyPH http://t.co/OQ8RW7JW…",NULL,NULL,1,0,1,tl,D
5.42E+17,serbisyoaccess,"RT @govph: Via @dswdserves: As of 11:30 am, the NROC has 311 volunteers. Maraming salamat sa tulong! #ReliefPH #RubyPH http://t.co/OQ8RW7JW…",NULL,NULL,1,0,1,tl,D
5.42E+17,leahnavarro,"RT @PN_Speak: Navy personnel of PS36 in Palawan transported relief goods for Cuyo, Agutaya and Magsaysay municipality. #RubyPH http://t.co/…",NULL,NULL,1,0,1,tl,D
5.42E+17,Foxshane,"RT @PN_Speak: Navy personnel of PS36 in Palawan transported relief goods for Cuyo, Agutaya and Magsaysay municipality. #RubyPH http://t.co/…",NULL,NULL,1,0,1,tl,D
5.42E+17,News5AKSYON,"RT @PN_Speak: Navy personnel of PS36 in Palawan transported relief goods for Cuyo, Agutaya and Magsaysay municipality. #RubyPH http://t.co/…",NULL,NULL,1,0,1,tl,D
5.42E+17,TropangMARangal,"RT @PN_Speak: Navy personnel of PS36 in Palawan transported relief goods for Cuyo, Agutaya and Magsaysay municipality. #RubyPH http://t.co/…",NULL,NULL,1,0,1,tl,D
5.42E+17,yvan_zenith,"RT @PN_Speak: Navy personnel of PS36 in Palawan transported relief goods for Cuyo, Agutaya and Magsaysay municipality. #RubyPH http://t.co/…",NULL,NULL,1,0,1,tl,D
5.42E+17,cocoy,"RT @PN_Speak: Navy personnel of PS36 in Palawan transported relief goods for Cuyo, Agutaya and Magsaysay municipality. #RubyPH http://t.co/…",NULL,NULL,1,0,1,tl,D
5.42E+17,enjayneer,"RT @PN_Speak: Navy personnel of PS36 in Palawan transported relief goods for Cuyo, Agutaya and Magsaysay municipality. #RubyPH http://t.co/…",NULL,NULL,1,0,1,tl,D
