'1',Terra » Imágenes de Mike Bettes expresan conmoción por tornado en Misurí http://bit.ly/kMPKEL #Peru,Other
'2', @elisemitch:  @samsclubsusan: #samsclub in #Joplin has generators tarps fuel cans ice charcoal & other supplies. No membership  ...,Informative
'3', @Bill_Gross: Amazing - and stunningly sad - pictures of before and after the #Tornado swept through #Joplin: http://j.mp/lfa80S from  ...,Informative
'4',""""" @my_tweet: #Joplin #tornado MISSING PERSON: Hannah Hull 15 years old Brown wavy hair.information please call Robin at 913-669-4994",Informative
'5',Yesterday was supposed to be 70 and sunny/cold and rain. Today was supposed to be 90 and sunny guess what? Tornado warning #FUCKTOLEDOOHIO,Informative
'6', @BarackObama: In Joplin Missouri today to visit with those who lost so much in last week's devastating tornado.,Informative
'7',you'll think after that mini #tornado we just had people would be in the house. smh,Personal message
'8', @jjeffrose: Wow! Crazy pic from Joplin MO. “@thegoodhuman: Google Street View before and after shows tornado's true destruction http ...,Informative
'9',#Joplin http://t.co/tTpJSrw,Informative
'10'," @BrianLynch: X-MEN:FC would have done better if they advertised it was the film debut of Marvel character ""Snappily Dressed Tornado Man.""",Other
'11',Tornado sucks up a river.  http://is.gd/tutjk0,Informative
'12',Tornado warning? More like late Rapture :D. #TardyParty,Personal message
'13',@KaitlinMartinek @zillera @zombiemustaches tornado chaser sunday!,Personal message
'14', @lifechurchtv: See an update of how LifeChurch.tv is partnering with Tornado Relief in Joplin Oklahoma City and Birmingham. http://y ...,Informative
'15',@kriwil ga tau :D *akhirnya pake web framework-nya tornado templokin ke dotcloud* | @kecebongsoft,Other
'16',Prayers are with the people of #joplin and shame on anyone who politicizes this.,Personal message
'17',i need to get my roooots  bad. this tornado warning is interfering with my napppy roots.,Personal message
'18',Pray for #Joplin. At least 89 dead & severe T-storms headed their way. The front dipped below us in Springfield last night.,Informative
'19',@nerdygrrl That's tornado weather!,Personal message
'20', @abcdadepressao: Hoje pelo jeito a gente vai presenciar o primeiro tornado da história do ABC.,Other
'21',Tornado Watch – Expiration http://nblo.gs/iBYgB,Informative
'22',Joliet councilman organizes tornado relief collection - Herald News http://t.co/PqMTvXw via @AddThis,Informative
'23',VIDEO: True Faith Shown During Joplin Tornado http://tinyurl.com/3gcd65n #charismamagazine #charisma_magazine,Informative
'24', @stormchaser4850: Edmond OK woman dies in car accident while driving to beat tornado http://bit.ly/kWzV3x,Informative
'25',I still haven't been through a tornado. Weird goal in life... I hope I will at least live through it so I can tweet about my experience.,Personal message
'26',Is there an interactive online with a map of damaged location in #Joplin? If not could someone get on that? #fb,Personal message
'27',"@eddiebrandoff ""tornado e de boa"" WTF MAN???? oO hahahahahahahaha deve ser um saco mesmo",Other
'28',#freakingout because ive never witnessed a tornado and i dont plan to! #scaredtodeath @nickjonas come save me!!! please!!!,Personal message
'29',Whoa!   @rob_sheridan: This is what happens when a tornado crosses a river. Holy shit. http://bit.ly/lSatyy - via @leviathant,Informative
'30', @_Rickeh: LOOKATGOD!  @WSJ: Ninety of the people unaccounted for after the Joplin tornado have been located and are alive http://on ...,Informative
'31', @OzarksRedCross: Shelter is open: Campus of MO SO State Univ. @ the Legget & Platt Athletic Center; 3950 Newman Rd #Joplin Mo #Tornado,Informative
'32',@RockmanSSR @LoganakaWeaponX Well lets hope they weren't replaceable like Red Tornado,Personal message
'33',really glad that tornado didnt hit nashua ......kinda dissoponted .........have reletives in springfeild!! hope there okay!!,Personal message
'34',Experience a 360 degree view of a 250mph tornado in Nature Unleashed: Inside Natural Disasters opening 5/28. www.CTScienceCenter.org/nature,Informative
'35', @halopets: PLEASE : 100% of kibble raised today by @Freekibble will be donated to the homeless pets in tornado stricken Joplin! htt ...,Informative
'36',Tornado Warning for Butler and Preble Counties until 6:45 PM.,Informative
'37', @14FirstAlert: TORNADO WARNING issued for parts of DAVIESS county in KY until 09:45 PM CT - http://wx4.me/N9.TW1026 #tristatewx,Informative
'38', @TWCBreaking: #Tornado reported in the Kansas City metro!  TAKE COVER in Overland Park Leawood Lenexa!  Alert:  http://wxch.nl/jsmObR,Informative
'39', @even_alan: Tornado en #reynosa #tamaulipas 26/05/11... #tampico #mtyfollow #mexico http://www.youtube.com/watch?v=2A2eM1x6hX0&featur ...,Other
'40',Tornado Warning for RI until 12am - really??,Personal message
'41', @txstormchasers: PDS (Particularly Dangerous Situation) #Tornado Watch for much of NW/N TX and OK. #txwx #okwx #severe,Informative
'42',Anyone in #Monson area have photos of damage from yesterday's #tornado? Please send them to journalregister@turley.com #westernma,Informative
'43',@JacquiJeras Massachusetts had a big tornado,Informative
'44', @BTR_NZ: to all those who are in any way affected by this tornado please know that my thoughts and heart is with you all !! arohanui  ...,Personal message
'45', @oldrockhousestl: Old Rock House will donate $1 to Heart of Missouri United Way for Joplin Tornado relief every time this is re-tweet ...,Informative
'46',@fox12weather re: tornado. I live in Vancouver. That must be why I heard thunder (or a freight train) around that time this afternoon.,Informative
'47', @LOSewardII: MO Gov. Jay Nixon on stage at #Joplin community memorial http://lockerz.com/s/105952239,Informative
'48', @CLinehan21: @adamlevine please retweet for my fellow Missourians. Text REDCROSS to 90999 to make a $10 donation to Joplin tornado fund.,Informative
'49', @TippingPointSEO: please follow my friends @RebuildJoplinMO They do a great job at providing valuable info for donors and victims of  ...,Informative
'50', @reedtimmerTVN: Thursday system would likely be a significant tornado outbreak in Canadian Prairies if a month later with moisture.   ...,Informative
'51',SHOCKING PHOTOGRAPHIC  account of the tornado devastation in Joplin Missouri... Like a second hometown to me.,Informative
