TweetID,User,Tweet,Latitude,Longitude,IsHashtag,IsURL,IsRetweet,Language
5.13E+17,jhilaine_jc,@MMDA @MarikinaPIO passable na po Rob Metro East pati Marcos Hway... Kadadaan ko lang :) pero baha po sa ilalim SM Marikina,NULL,NULL,0,0,0,tl
5.13E+17,rima_anne,Baha pala sa pampanga.,NULL,NULL,0,0,0,tl
5.13E+17,imbeaman,@kennyroGELs sa condo huhu baha sa p. Noval e,NULL,NULL,0,0,0,pt
5.13E+17,EspiriTruth,"RT @ABSCBNNews: Lagpas gutter ang baha sa Liwasang Bonifacio (Padre Burgos, Mla) #MarioPH http://t.co/SejkhCvA7p |via @zhandercayabyab",NULL,NULL,1,0,1,tl
5.13E+17,parengsnowbell,RT @hadjirieta: Mataas pa rin ang baha sa bahaging ito ng Espaí±a Boulevard sa Maynila dahil sa walang tigil na ulan. #MarioPH http://t.co/eäó_,NULL,NULL,1,0,1,tl
5.13E+17,pinoy_e,"""@GMANewsOnline: VIDEO: Mga maliliit na sasakyan, hindi makatawid sa baha sa kahabaan ng Espaí€Œ±a, Manila http://t.co/jXQYTRKEGl""",NULL,NULL,0,1,0,tl
5.13E+17,pinoy_e,"""@GMANewsOnline: VIDEO: 5 bayan sa Bulacan, lubog sa baha http://t.co/EVeqwvS100""",NULL,NULL,0,1,0,tl
5.13E+17,JanryOfficial,"RT @rapplerdotcom: #FloodPH Quezon City. Follow our #MarioPH LIVE BLOG: http://t.co/eEphgS4eu5 http://t.co/KlHmEK6M4U",NULL,NULL,1,1,1,en
5.13E+17,lukrexiaAligaga,RT @unetaelrhey: MARIKINA NEWS POST - Bumaba ng kaunti ang ating tubig baha sa ilog: 19.7 meters as of 9:37pm. Maging handa po tayo.,NULL,NULL,0,0,1,tl
5.13E+17,Chuuukkk,RT @clingyboypren: Hanggang leeg na ung baha sa Kalentong. Stay safe rizalians! ?? #MarioPH http://t.co/nXAwDNmyUJ,NULL,NULL,1,0,1,tl
5.13E+17,bry121988,RT @hadjirieta: Mataas pa rin ang baha sa bahaging ito ng Espaí±a Boulevard sa Maynila dahil sa walang tigil na ulan. #MarioPH http://t.co/eäó_,NULL,NULL,1,0,1,tl
5.13E+17,krambronds,"RT @rapplerdotcom: #FloodPH Quezon City. vFollow our #MarioPH LIVE BLOG: http://t.co/eEphgS4eu5 http://t.co/KlHmEK6M4U",NULL,NULL,1,1,1,en
5.13E+17,KeniticChoy,"RT @stateofdnation: Red rainfall warning ang nakataas sa Nueva Ecija, Zambales at Tarlac. Matinding buhos ng ulan at matinding baha ang inaäó_",NULL,NULL,0,0,1,tl
5.13E+17,YoItsEllaoiG,"RT @DZMMTeleRadyo: Tulay sa CamNorte, nawasak ng baha; Quirino Hiway ang daan pa-Daet (Photo from @PRO5React)   http://t.co/l9AopM1Zmy httpäó_",NULL,NULL,0,1,1,tl
5.13E+17,KeniticChoy,"RT @stateofdnation: Maaga pa lang, baha na ang mga pangunahing kalsada sa Maynila tulad ng Espaí±a at Taft. May report si @sandraguinaldo.",NULL,NULL,0,0,1,tl
5.13E+17,schizoprano,RT @MMDA: FLOOD UPDATE: AS OF 9:20 PM OSMEíïA Buendia - Subsided. #mmda,NULL,NULL,1,0,1,en
5.13E+17,PanahonTV,FLOOD UPDATE: AS OF 9:20 PM OSMEíïA Buendia - Subsided.,NULL,NULL,0,0,0,en
5.13E+17,BadGirlDL,"RT @rapplerdotcom: #FloodPH Quezon City. Follow our #MarioPH LIVE BLOG: http://t.co/eEphgS4eu5 http://t.co/KlHmEK6M4U",NULL,NULL,1,1,1,en
5.13E+17,elaiidasig,RT @MMDA: FLOOD UPDATE: AS OF 9:16 PM SMCenter Point EB/WB - Passable along Araneta NB/SB - Not Passable. #mmda,NULL,NULL,1,0,1,en
5.13E+17,EdwardHenryHyde,RT @DZMMTeleRadyo: Abot-tuhod pa rin ang baha sa Espaí±a cor. N.Reyes (Morayta) #MarioPH http://t.co/VZEAMuB01s @zhandercayabyab,NULL,NULL,1,0,1,tl
5.13E+17,redcross143,#MarioPH FLOOD UPDATE: AS OF 9:20 PM OSMEíïA Buendia - Subsided. #mmda | via RT @MMDA,NULL,NULL,1,0,0,en
5.13E+17,lynvgarcia,#MarioPH FLOOD UPDATE: AS OF 9:20 PM OSMEíïA Buendia - Subsided. #mmda | via RT @MMDA,NULL,NULL,1,0,0,en
5.13E+17,RedCrossYouthPH,#MarioPH FLOOD UPDATE: AS OF 9:20 PM OSMEíïA Buendia - Subsided. #mmda | via RT @MMDA,NULL,NULL,1,0,0,en
5.13E+17,jcrdv_27,RT @MMDA: FLOOD UPDATE: AS OF 9:20 PM OSMEíïA Buendia - Subsided. #mmda,NULL,NULL,1,0,1,en
5.13E+17,BerteDeam,RT @MMDA: FLOOD UPDATE: AS OF 9:26 PM ESPAíïA Lacson Gutter Deep - Passable. #mmda,NULL,NULL,1,0,1,en
5.13E+17,KneeCoalChewAH,RT @MMDA: FLOOD UPDATE: AS OF 9:26 PM ESPAíïA Lacson Gutter Deep - Passable. #mmda,NULL,NULL,1,0,1,en
5.13E+17,MMDA,FLOOD UPDATE: AS OF 9:28 PM Ma.Clara Araneta - Subided. #mmda,NULL,NULL,1,0,0,en
5.13E+17,MarieGayyed,"RT @rapplerdotcom: #FloodPH Quezon City. Follow our #MarioPH LIVE BLOG: http://t.co/eEphgS4eu5 http://t.co/KlHmEK6M4U",NULL,NULL,1,1,1,en
5.13E+17,PIAalerts,@PanahonTV: #FLOOD UPDATE AS OF 9:16 PM SMCenter Point EB/WB - Passable along Araneta NB/SB - Not Passable,NULL,NULL,1,0,0,en
5.13E+17,MPCOfficialPage,RT @MMDA: FLOOD UPDATE: AS OF 9:20 PM OSMEíïA Buendia - Subsided. #mmda,NULL,NULL,1,0,1,en
5.13E+17,SWWELYYIN,RT @redcross143: #MarioPH FLOOD UPDATE: AS OF 9:20 PM OSMEíïA Buendia - Subsided. #mmda | via RT @MMDA,NULL,NULL,1,0,1,en
5.13E+17,InqMetro,RT @MMDA: FLOOD UPDATE: AS OF 9:28 PM Ma.Clara Araneta - Subided. #mmda,NULL,NULL,1,0,1,en
5.13E+17,PanahonTV,FLOOD UPDATE: AS OF 9:28 PM Ma.Clara Araneta - Subided.,NULL,NULL,0,0,0,en
5.13E+17,bernanaboat,RT @MMDA: FLOOD UPDATE: AS OF 9:26 PM ESPAíïA Lacson Gutter Deep - Passable. #mmda,NULL,NULL,1,0,1,en
5.13E+17,AntipoloPH,RT @MMDA: FLOOD UPDATE: AS OF 9:16 PM SMCenter Point EB/WB - Passable along Araneta NB/SB - Not Passable. #mmda,NULL,NULL,1,0,1,en
5.13E+17,AntipoloPH,RT @MMDA: FLOOD UPDATE: AS OF 9:26 PM ESPAíïA Lacson Gutter Deep - Passable. #mmda,NULL,NULL,1,0,1,en
5.13E+17,AntipoloPH,RT @MMDA: FLOOD UPDATE: AS OF 9:20 PM OSMEíïA Buendia - Subsided. #mmda,NULL,NULL,1,0,1,en
5.13E+17,AntipoloPH,RT @MMDA: FLOOD UPDATE: AS OF 9:28 PM Ma.Clara Araneta - Subided. #mmda,NULL,NULL,1,0,1,en
5.13E+17,alders_ledge,"RT @momblogger: thankfully. RT @maria_ressa: #MarioPH floods up to 25% of Metro Manila, but worst is over via @rapplerdotcom http://t.co/y0äó_",NULL,NULL,1,1,1,en
5.13E+17,CapsAmongAll,RT @MMDA: FLOOD UPDATE: AS OF 9:28 PM Ma.Clara Araneta - Subided. #mmda,NULL,NULL,1,0,1,en
