"TweetID";"User";"Tweet";"Latitude";"Longitude";"IsUrl";"IsHashtag";"IsRetweet";"Language";"Category"
1232;"earl_ezpeleta";"Sana naman ipriority talaga ng local government lalo na sa Visayas yung pagtulong sa mga maaapektuhan ng Bagyo. #RubyPH";"NULL";"NULL";1;0;0;"tl";"CH"
1254;"mariangavalon";"News update: Di pa rin tapos sa pamimigay ng relief goods and paglilista kung ilang mga households ang nag evacuate #RubyPH";12.539419;124.876031;1;0;0;"tl";"CH"
1262;"JoshAne_Ashmatt";"""@DZMMTeleRadyo: Taft, E. Samar Mayor Libanan: Kailangan talaga namin ng food supply, mauubusan na po kami rito #RubyPH""";"NULL";"NULL";1;0;0;"tl";"CH"
1381;"TheWingedImago";"RT @philredcross @RescuePH @MarikinaPIO @MMDA Aquilino Silva, Blk 66 Roga Compound, Tumana, Marikina. 09267777459. #RescuePH";"NULL";"NULL";1;0;0;"tl";"CH"
1398;"maphnie";"More than 2k families na yung nasa Sto. Domingo Church. Hindi na nila kaya iaccommodate lahat. Need food & water. #ReliefPH";"NULL";"NULL";1;0;0;"tl";"CH"
1402;"MattLeeShoots";"RT @maphnie: More than 2k families na yung nasa Sto. Domingo Church. Hindi na nila kaya iaccommodate lahat. Need food & water. #ReliefPH";"NULL";"NULL";1;0;1;"tl";"CH"
1404;"SheWantsTheDIM";"RT @maphnie: More than 2k families na yung nasa Sto. Domingo Church. Hindi na nila kaya iaccommodate lahat. Need food & water. #ReliefPH";"NULL";"NULL";1;0;1;"tl";"CH"
1405;"icohizon";"RT @maphnie: More than 2k families na yung nasa Sto. Domingo Church. Hindi na nila kaya iaccommodate lahat. Need food & water. #ReliefPH";"NULL";"NULL";1;0;1;"tl";"CH"
1445;"cincodeziall";"Purok 5, Indigo Phase 1, Malanday, Marikina, Muntinlupa, Metro Manila #RescuePH";"NULL";"NULL";1;0;0;"tl";"CH"
2448;"openphoenix";"ms #RubyPH pwede ba tumalon ka nalang sa #haciendabinay don mo e concentrate lakas mo";"NULL";"NULL";1;0;0;"tl";"O"
2517;"pornkidmgc";"RT @njhnike: stay safe mga filos!! #RubyPH";"NULL";"NULL";1;0;1;"tl";"O"
2540;"odvinachristian";"RT @MgaPatamaPosts: I can feel #RubyPH now in Pampanga. Nafefeel mo narin ba?";"NULL";"NULL";1;0;1;"tl";"O"
2542;"Mikkky_12";"RT @MgaPatamaPosts: I can feel #RubyPH now in Pampanga. Nafefeel mo narin ba?";"NULL";"NULL";1;0;1;"tl";"O"
2565;"shemmcytive";"RT @noahnelse: ""Guys, mahalin nalang naten si #RubyPH para umalis! Diba ganon naman kapag minamahal natin?! iniiwan lang tayo!"" Hahaha nabaâ€¦";"NULL";"NULL";1;0;1;"tl";"O"
2566;"Dreypansoy23";"RT @nkkareyes: ""@KuyaEdu: Gusto niyo mawala si #RubyPH? Mahalin niyo! Kasi putangina lahat naman ng minamahal natin nawawala""";"NULL";"NULL";1;0;1;"tl";"O"
2567;"patabaingCHICO";"RT @npm_ambayec: @patabaingCHICO sapul na sapul San Juan at Lobo ni #RubyPH as of now dun siya dumadaan :(";"NULL";"NULL";1;0;1;"tl";"O"
2568;"SuperAlliana04";"RT @MgaPatamaPosts: Takutin ko kaya si #RubyPH para magulat tapos tumakbo ng mabilis?";"NULL";"NULL";1;0;1;"tl";"O"
2570;"Alexis_Chua09";"RT @MgaPatamaPosts: Takutin ko kaya si #RubyPH para magulat tapos tumakbo ng mabilis?";"NULL";"NULL";1;0;1;"tl";"O"
