TweetID;User;Tweet;Latitude;Longitude;IsHashtag;IsURL;IsRetweet;Language;Category;#floodPH;naman;lahat;daw;#floodph;by;Sa;lang;ulan;Libis;Lagpas-tao;wala;#marioph;Sto;via;http://t.co/p2kYSUXut9;Sampaloc;kinaya;@oscaroida;Di;Maynila;mga;@YouScoop;...;http://t.co/XgnOyg9Gbs;htÃ¢â‚¬Â¦';10-oras;Mortel;BCWMH;Nicolo;Marlo;Halos;@DZMMTeleRadyo;nang;stranded;si;dahil;Cainta;#RescuePH;may;at;#FloodPH;ng;po;ang;na;baha;RT;#MarioPH;sa;Length
512824691392651000;'MANHIDger';'@ReliefPHcom: Pasay, Makati, Taguig, Mindanao Ave: transportation, libreng sakay #reliefPH #rescuePHÃ?Â #MarioPH http://t.co/s7olS7Odzb';14.515036;121.046451;1;1;0;'tl';'R';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;20
512825118779645000;'satabengdagat';'RT @DZMMTeleRadyo: PHOTO:Baha na rin sa Taft kanto ng Pedro Gil sa Maynila http://t.co/ess66HHzyP #MarioPH | via @RadyoPatrol38 http://t.coÃ¢â?¬Â¦';'NULL';'NULL';1;1;1;'tl';'R';1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;2;0;0;0;0;1;0;0;0;0;0;1;0;0;0;2;0;0;0;22
512825159674114000;'theSYMs';'Ã¢â?¬Å?@News5AKSYON: RT @doblezeta: Flood Report: puddle deep flooding in MRT car #8 Ã Â²Â _Ã Â²Â  #MarioPH http://t.co/9VQFWq0BSZÃ¢â?¬? pati MRT baha? :))';'NULL';'NULL';1;0;0;'tl';'R';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;28
512825359461412000;'mharaaa';'Okay! Baha na rin daw sa Aurora, mabuhay! #MarioPH';'NULL';'NULL';1;0;0;'tl';'R';0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;12
512825686185099000;'kimikiyeme';'RT @gmanews: De La Rosa - SS Highway to Pasong Tamo, Makati, waist-level ang baha. | #MarioPH via @nimfaravelo http://t.co/wZkrRpsOvs';'NULL';'NULL';1;0;1;'tl';'R';0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;24
512825725569622000;'Bunnywarlockk';'RT @zhandercayabyab: Abot-dibdib na baha sa Araneta cor. E.Rod (padala ni @rachanneching) @DZMMTeleRadyo #MarioPH http://t.co/5neVCyHL1v';'NULL';'NULL';1;0;1;'tl';'R';1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;21
512825888723832000;'MamaNiAnya';'Baha sa MRT!?! RT @doblezeta: Flood Report: puddle deep flooding in MRT car #8 Ã Â²Â _Ã Â²Â  #MarioPH http://t.co/Vr7VWnUvQ4';'NULL';'NULL';1;0;0;'tl';'R';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;23
512825913575079000;'queenofmercy58';'Baha sa Araneta Ave. ang lalim ng tubig! #NewsPatrol #AbsCbn #DzmmRadyoPatrol #EdwinSevidal #MarioPHÃ¢â?¬Â¦ http://t.co/ShjzBImoGf';'NULL';'NULL';1;1;0;'tl';'R';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;17
512826046014427000;'ohmydigbick';'RT @jm_lago: O. EM. @YouScoop: Lagpas-tao na ang baha dito sa Libis Sto. Nino, Marikina. #MarioPH | via YouScooper @ajibayron http://t.co/Ã¢â?¬Â¦';'NULL';'NULL';1;0;1;'tl';'R';0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;1;1;0;0;0;1;0;0;0;28
512826080638402000;'velascokath_';'RT @DZMMTeleRadyo: PHOTO:Baha na rin sa Taft kanto ng Pedro Gil sa Maynila http://t.co/ess66HHzyP #MarioPH | via @RadyoPatrol38 http://t.coÃ¢â?¬Â¦';'NULL';'NULL';1;1;1;'tl';'R';1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;2;0;0;0;0;1;0;0;0;0;0;1;0;0;0;2;0;0;0;22
