id,sender,message,date,geolat,geolon
526795f76783e6ad80accbd5,Miyasan24,Man bite with aristotempoles #turks @ SM City San Lazaro http://t.co/SlKf5UPQPk,10/23/2013 5:25,14.61817745,120.9860373
526795f76783e6ad80accbd6,MEAgustin07,Malandeeeers,10/23/2013 5:25,14.6091118,121.1219683
526795f76783e6ad80accbd7,AkosiJanDeLeon,Fftb. Lol,10/23/2013 5:25,14.57773254,120.9999846
526795f86783e6ad80accbd8,Nico_Marniii,Faaag http://t.co/norfeGDvn3,10/23/2013 5:25,14.57257576,121.0424209
526795f86783e6ad80accbd9,shyleriooo,@jennicadanielle @TheClqOfficial hahahahahaha ibig sabihin nyan  MALIBOG KA TALAGA ?,10/23/2013 5:25,14.55626094,121.0813764
526795f96783e6ad80accbda,luhanisnotmanly,PUTANINAAA NYO KANINA PA KO JAILED IM DO MAD,10/23/2013 5:25,14.56665667,121.0834527
526795f96783e6ad80accbdb,tiaramejos,I'm at @BlissYogaManila (Makati City) http://t.co/iEKCzPs4Qt,10/23/2013 5:25,14.55731346,121.0182035
526795fb6783e6ad80accbdc,DetdetLabsyoo,No regrets. Just lessons learned. ?,10/23/2013 5:25,14.5744834,121.1103214
526795fb6783e6ad80accbdd,monuevo,The Ugly Truth,10/23/2013 5:25,14.59223,121.06027
526795fc6783e6ad80accbde,kimpuy_,@fritzmachoo @AaronicDamage Palitan mo na yan! HAHAHAHAHA,10/23/2013 5:25,14.61244178,120.9911605
526795fc6783e6ad80accbdf,MoenHalili,Module 2  Day 7: Tired but fulfilled :) (@ Mind & Body Studio - @fitnessfirstph) http://t.co/2PGaVowjUc,10/23/2013 5:25,14.53728005,120.981279
526795fe6783e6ad80accbe0,axLtnr,Hello :'>,10/23/2013 5:25,14.53772,121.02277
526795ff6783e6ad80accbe1,luhanisnotmanly,NOMINATED AND EXOOOO WAHAHAHHAHH,10/23/2013 5:25,14.56665667,121.0834527
526796016783e6ad80accbe2,carlanggg,Nakakamiss :( http://t.co/PAdCVY7C6r,10/23/2013 5:25,14.6698596,120.9998198
526796036783e6ad80accbe3,luhanisnotmanly,EWAAANNBN,10/23/2013 5:25,14.56665808,121.0834295
526796046783e6ad80accbe4,_pReTty_MiSh_,@florjill @si_JinJin_ako @SigMolina pgdting natin dun tayo sskay.promise sa lipa un rancho ng friend ni hubby eh nandun un mga kabayo nmn..,10/23/2013 5:25,14.62659713,121.0374897
526796056783e6ad80accbe5,pinakapogingCPA,Just in time before the sun sets.. Unfortunately  there's no clear blue skies for me. (@ SM Mall of Asia) http://t.co/iLwVs45MY4,10/23/2013 5:25,14.53589879,120.982089
526796056783e6ad80accbe6,eiramfreaks,Congrats sa ultimate crush ko na pumasa sa cpa board exam. Hihi ? :-*,10/23/2013 5:25,14.5715285,120.9849049
526796056783e6ad80accbe7,toledokiko,At Gong Cha — https://t.co/WC0s5EEsxI,10/23/2013 5:25,14.57507,120.98579
526796066783e6ad80accbe8,Nurse_EJ,Ahhhhhhh AYALA TRIANGLE! :)) @ Ayala Triangle Gardens http://t.co/8Jc8hy3Nwe,10/23/2013 5:25,14.55683479,121.0240603
526796076783e6ad80accbe9,Avengearl,@yownor OONGA ._. FB!!,10/23/2013 5:25,14.69454617,120.9709921
526796076783e6ad80accbea,chio_p15,sarap kumain ng fishbol hahahah,10/23/2013 5:25,14.5906332,121.0985223
526796076783e6ad80accbeb,Geleyme,@dayritkath Helow :D,10/23/2013 5:25,14.6292436,121.0664178
526796086783e6ad80accbec,luhanisnotmanly,NAMISS KO KAYOOO,10/23/2013 5:25,14.56661378,121.083417
526796086783e6ad80accbed,grsm911,Practice with @xtelleee et @yssaaaaa :)))))))))),10/23/2013 5:25,14.65058423,120.9710973
526796096783e6ad80accbee,capjdea15,IT'S SEMBREAK!!! #HK #AwesomeVacation #Relaxation,10/23/2013 5:25,14.5270711,121.0407722
5267960a6783e6ad80accbef,superinaaa,@whosangelanyway nag-aaya yun. Haha,10/23/2013 5:25,14.5554375,121.0175035
5267960c6783e6ad80accbf0,Ovey_18,As expected :),10/23/2013 5:25,14.6256978,120.971488
5267960c6783e6ad80accbf1,Nieveraallysa,Periodical exam tomorrow and I'm not in the mood to study. oh No!! ?????,10/23/2013 5:25,14.5916687,121.1284241
5267960e6783e6ad80accbf2,eschiblu,First time kong manood ng series na hanggang episode 6 lang pinanood ko. Hay! Di ko kinaya to. ??? #whenamanloves,10/23/2013 5:25,14.5470856,121.0621231
